,cu_local_no,cu_established_no,cu_alcohol_no,cu_bakery_no,cu_dairy_no,cu_flower_no,cu_fuel_no,cu_garden_no,cu_grocery_no,cu_meat_no,cu_misc_no,cu_natural_prod_no,cu_packaged_no,cu_pharmaceutical_no,cu_prepared_no,cu_restaurant_no,cu_salad_no,cu_seafood_no,cu_skin_no,cu_travel_no,cu_vegetable_no,customer_id,no_of_tran,no_of_days,qty,max_sp,min_sp,avg_sp,max_od,min_od,avg_od,max_cd,min_cd,avg_cd
0,144,166,0,0,0,0,15,0,214,19,0,7,29,21,1,0,0,4,0,0,0,1053,310,80,105551,5164.54,17.45,184.2604839,0,-890.5,-33.16893548,0,-89.05,-0.287258065
1,246,603,0,16,0,3,3,0,592,20,0,45,43,116,2,0,0,4,5,0,0,1168,849,84,36727,1244.21,3.56,83.80914016,0,-427.44,-21.0168669,0,-142.48,-1.447444052
2,214,1241,0,27,10,1,0,0,897,11,2,20,55,409,6,0,0,0,17,0,0,1061,1455,227,1960,852.74,8.9,109.3222268,0,-356.2,-16.09298282,0,-124.31,-0.976281787
3,303,638,8,10,11,0,0,0,708,12,0,13,39,130,4,0,1,3,2,0,0,1240,941,112,1116,712.4,8.9,93.59577046,0,-587.37,-11.16310308,0,-117.19,-0.264590861
4,261,527,2,1,9,1,2,1,612,8,0,27,26,88,8,0,0,2,1,0,0,351,788,38,15955,765.83,7.12,73.58446701,0,-227.61,-13.29794416,0,-53.43,-0.248629442
5,223,725,0,7,5,1,0,0,633,5,0,44,67,171,5,1,0,3,5,0,1,1531,948,77,1105,1424.44,7.12,101.1957068,0,-167.06,-11.40768987,0,0,0
6,440,866,0,12,3,1,2,0,981,65,3,29,123,66,2,1,0,18,0,0,0,810,1306,128,13706,712.4,3.56,78.66900459,0,-216.93,-10.5892879,0,0,0
7,159,467,0,9,35,0,5,0,475,7,2,8,26,54,3,0,0,1,0,1,0,1507,626,64,61093,1228.89,6.06,67.65814696,0,-142.48,-16.19541534,0,-35.62,-0.440974441
8,246,1110,0,9,15,3,11,0,871,28,2,61,66,268,3,0,0,7,12,0,0,1093,1356,47,190614,2451.01,8.9,135.7549705,0,-248.98,-16.59394543,0,-53.43,-0.655390855
9,103,434,0,0,0,0,0,0,402,8,0,27,48,35,13,0,0,4,0,0,0,111,537,46,637,658.61,12.11,123.9799814,0,-110.78,-11.66970205,0,0,0
10,118,383,1,2,1,0,1,0,413,6,1,9,53,11,1,2,0,0,0,0,0,344,501,60,4171,533.59,7.12,75.11047904,0,-426.37,-21.620499,0,-89.05,-0.248842315
11,570,841,0,17,2,1,54,0,1086,2,1,7,63,166,8,0,0,4,0,0,0,632,1411,106,450128,1887.86,1.42,126.6784621,0,-426.37,-31.4276258,0,-195.55,-3.208022679
12,182,540,0,6,6,2,2,0,495,5,3,26,47,113,9,0,1,2,5,0,0,455,722,81,49692,1285.88,8.9,111.4985457,0,-390.04,-18.84148199,0,0,0
13,377,1373,1,6,1,0,55,0,1104,36,0,47,74,404,2,1,0,5,14,0,0,959,1750,142,488546,2065.25,1.07,124.49112,0,-640.45,-20.89641714,0,-89.05,-1.613668571
14,159,485,0,14,1,0,10,0,407,13,0,45,11,120,2,0,0,6,15,0,0,1200,644,87,112572,1249.91,5.34,112.924705,0,-142.48,-9.757204969,0,0,0
15,201,176,0,3,8,1,0,0,300,11,1,21,10,21,0,0,0,1,0,0,0,1282,377,69,489,1246.34,12.11,98.38331565,0,-818.9,-14.79124668,0,0,0
16,44,333,0,2,0,0,6,0,239,3,0,2,12,92,8,0,0,13,0,0,0,20,377,91,32574,1444.03,21.02,125.8510875,0,-391.46,-14.55323607,0,0,0
17,267,814,0,6,44,1,5,1,731,26,51,96,37,69,13,0,0,0,0,1,0,1545,1081,114,733078,2671.5,8.19,166.6895005,0,-963.88,-24.88975948,0,-89.05,-0.644190564
18,347,710,0,40,27,3,9,2,696,22,33,42,24,100,34,0,0,22,3,0,0,561,1057,187,434518,3846.96,9.62,204.988439,0,-942.51,-20.34883633,0,-89.05,-0.336991485
19,175,1006,0,5,14,0,15,4,799,6,0,72,48,171,27,0,0,2,18,0,0,1573,1181,81,195931,1551.96,7.12,116.4983658,0,-548.55,-13.89146486,0,-178.1,-0.669254869
20,94,511,0,46,0,0,4,0,447,28,0,10,27,14,19,0,0,10,0,0,0,607,605,142,16367,569.56,8.9,88.93821488,0,-195.91,-9.293487603,0,-60.2,-1.134528926
21,127,480,0,7,0,0,15,0,421,10,0,12,32,107,1,0,2,0,0,0,0,1321,607,92,162279,1312.24,15.32,115.7963756,0,-300.28,-17.7375453,0,-106.86,-3.021482702
22,136,319,0,2,5,0,0,0,330,11,0,12,45,36,11,0,0,3,0,0,0,1413,455,91,631,1068.24,3.56,83.16184615,0,-155.3,-11.55008791,0,-106.5,-0.554263736
