,local_no,established_no,alcohol_no,bakery_no,dairy_no,flower_no,fuel_no,garden_no,grocery_no,meat_no,misc_no,natural_prod_no,packaged_no,pharmaceutical_no,prepared_no,restaurant_no,salad_no,seafood_no,skin_no,travel_no,vegetable_no,coupon_id
0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,105
1,638,3075,0,0,259,0,0,0,3082,2,0,0,242,0,0,0,0,128,0,0,0,6
2,1077,3870,0,16,260,0,0,0,4127,4,1,0,247,0,0,0,0,292,0,0,0,22
3,1043,3830,0,16,259,0,0,0,4127,3,1,0,246,0,0,0,0,221,0,0,0,31
4,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,107
5,609,926,0,0,1,0,0,0,1530,0,0,2,0,1,1,0,0,0,0,0,0,9
6,1171,1982,0,0,2,0,0,0,3133,0,2,6,2,1,7,0,0,0,0,0,0,21
7,1171,1980,0,0,2,0,0,0,3132,0,2,5,2,1,7,0,0,0,0,0,0,30
8,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,226
9,0,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,494
10,0,112,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,492
11,0,91,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,522
12,0,70,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,518
13,0,71,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,520
14,0,101,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,529
15,0,70,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,524
16,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,378
17,0,69,0,0,2,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,596
18,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,104
19,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,204
20,0,116,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,468
21,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,651
22,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,650
23,0,107,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,415
24,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,312
25,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,157
26,0,70,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,671
27,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
28,0,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,845
29,0,58,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,932
30,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,933
31,0,146,0,0,0,0,0,0,144,0,0,0,0,2,0,0,0,0,0,0,0,11
32,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,720
33,0,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,718
34,0,95,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,44
35,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,976
36,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,975
37,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,549
38,1069,10744,0,0,2,0,0,0,12,8,5,0,0,9616,0,0,0,0,2170,0,0,23
39,1069,10745,0,0,3,0,0,0,12,8,5,0,0,9616,0,0,0,0,2170,0,0,32
40,302,1287,0,0,0,0,0,0,1584,0,4,0,0,1,0,0,0,0,0,0,0,43
41,302,1287,0,0,0,0,0,0,1584,0,4,0,0,1,0,0,0,0,0,0,0,42
42,0,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,801
43,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,907
44,0,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,799
45,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,800
46,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,18
47,0,74,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,1069
48,12,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,315
49,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,187
50,0,147,0,0,0,0,0,0,146,0,1,0,0,0,0,0,0,0,0,0,0,705
51,0,1085,0,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,37
52,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,241
53,0,38,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,878
54,0,53,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,876
55,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,643
56,0,41,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,38
57,0,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,636
58,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,637
59,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1063
60,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1062
61,0,49,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,1,0,0,1109
62,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1072
63,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,534
64,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,822
65,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,825
66,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,824
67,0,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,387
68,0,52,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,703
69,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,674
70,0,77,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,783
71,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,953
